generation;island;fitness;time
450;0;1718.3253155543644;197600
451;0;1720.2088792246325;198002
452;0;1720.4814027645134;198462
453;0;1719.7567424108702;198956
454;0;1720.4727253250362;199469
455;0;1720.0007831079708;200163
456;0;1719.1051492915499;200615
457;0;1716.967450332005;201172
458;0;1720.6205996800063;201770
459;0;1719.6361798159437;202294
460;0;1720.2279752426498;202826
461;0;1720.266784682963;203268
462;0;1719.210518811028;203870
463;0;1719.976515554351;204319
464;0;1719.2243864303332;204878
465;0;1720.266784682963;205430
466;0;1719.7567424108702;206020
467;0;1720.280682389918;206548
468;0;1719.6851494596349;207107
469;0;1720.2279752426498;207561
470;0;1720.3730044681622;207933
471;0;1720.3754690137396;208490
472;0;1719.995722054328;209018
473;0;1719.0590121556888;209412
474;0;1719.0524003250532;209910
475;0;1719.2456484889012;210434
476;0;1719.289439299001;210977
477;0;1719.3391963560102;211589
478;0;1719.995722054328;212112
479;0;1719.2456484889012;212649
480;0;1718.9444378712044;213035
481;0;1719.2456484889012;213552
482;0;1718.2620350051834;214114
483;0;1719.3659233497808;214658
484;0;1719.992605828078;215257
485;0;1720.2571088984562;215778
486;0;1719.3457361745452;216231
487;0;1718.6430332566224;216708
488;0;1719.992605828078;217127
489;0;1719.2056993612982;217683
490;0;1720.266784682963;218189
491;0;1719.7567424108702;218620
492;0;1718.2920364992142;219186
493;0;1719.7567424108702;219733
494;0;1719.6431302640442;220105
495;0;1719.2179459873087;220557
496;0;1719.7803881745897;221087
497;0;1719.431161849837;221551
498;0;1720.3839267678773;222013
499;0;1720.3839267678773;222610
